var,lo,mi,hi,n_eff,Rhat
z[32],-0.8840890648204951,-0.30394200843558605,0.2474759150214117,4682.898882646844,1.0004650039908303
z[33],-1.3302994320312334,-0.7269323614932421,-0.17487517097016061,4415.049931226224,1.0006158333421378
z[34],-0.011908001537602476,0.5107756749322498,1.0661760267284266,4548.952315933793,1.0002360010594318
z[35],-0.12479342048175213,0.5094245107244866,1.1709049335588075,7086.8658914852695,0.9996481128769188
z[36],-1.067346626131328,-0.369240089705424,0.34934938349707706,9512.76283087958,0.9997992839691577
z[37],0.18172235322574257,0.8624576522846124,1.5723254865704783,7820.8822056129475,0.9999378247180754
z[38],-0.9067525131312892,-0.18005563429587346,0.5295637883220847,9125.244926670184,1.000155671674773
z[39],-1.3824606872106577,-0.6405927223896681,0.013016879104704613,7784.753587890696,1.0003084104627278
z[40],-0.8207653551487307,-0.14301249689642453,0.5270778879927853,7776.0219161385,0.999914903916502
phi[1],0.602527132330101,0.6984347204654121,0.7824400726483477,5728.142892526085,0.9999327230062798
phi[2],0.0988765582944555,0.224861286521724,0.3975274592397383,6353.4729562005,1.0002074612144225
phi[3],0.4149257140099002,0.5476134703344604,0.659082004498499,4327.938857359234,1.0000378367748248
phi[4],0.1090691436583392,0.24455313772626613,0.44515198699572744,5510.251863840829,1.0004946108814783
phi[5],0.4271000998165978,0.5927200922672304,0.7192125950033457,3823.570418949809,1.000962265930593
phi[6],0.5298677397790794,0.6423020476341901,0.7415292645967332,5586.81414491662,1.0001011834788012
sig_beta[1],0.09120385942059878,0.16067818376217446,0.26622169370532284,2734.730625777978,1.0009019399749197
sig_beta[2],0.09443365496486322,0.12898541538642405,0.17197050143982132,3432.217748690432,0.9999402950655174
sig_beta[3],0.13466879554028074,0.19234396110279478,0.2913325376449324,3736.0554152390296,1.0007069751514108
sig_beta[4],0.07565238417031461,0.1209648585307889,0.19140761568734846,2076.456169250773,1.000562158256728
sig_beta[5],0.037260617748109515,0.071359807385873,0.1253051878805238,3421.7170642221545,1.0010773059180766
ze[1],-0.7952968713001077,0.09149945295272721,1.0036383206899187,15403.865218829553,1.000155668428783
ze[2],-0.7502662939159235,0.15505950171454658,1.0629932335519496,13838.224394077512,0.9996756574440882
ze[3],-0.6716224208480647,0.23191924704620487,1.1383312984055365,16358.14010084123,0.9996532839680206
ze[4],-0.4954558385907892,0.44271850700752613,1.3905481684552836,14038.446111633066,0.9997642260237627
ze[5],-0.5795665865619719,0.35584563451641293,1.2453031244330448,14069.009139263582,0.9997379084899243
ze[6],-0.5936302033068119,0.35110311112851944,1.3057630756517735,17045.45009987451,0.9997382669308231
ze[7],-0.7523846587367099,0.17679626378947638,1.1083054040617917,15155.977203940462,0.9997214522871863
ze[8],-0.7820656362350715,0.12762033814822107,1.0332759166002887,15254.398708166598,0.9996843300516837
ze[9],-0.9811296523202393,-0.024174811675456008,0.9494490206611209,17573.28950008613,0.9996742718110538
ze[10],-1.0545253216239563,-0.12127403566207676,0.8032319201643267,14491.8054231431,0.9995330769646713
ze[11],-0.9912673012243157,-0.061039512502771065,0.877712698362815,15698.171925890205,0.9996030023586665
ze[12],-1.2443252586197933,-0.32220409081362184,0.6225633786467887,14331.28377417374,0.9995642292742648
ze[13],-1.1160758353966191,-0.18061458823453883,0.7603340667937923,15960.307544601257,0.9996294947605401
ze[14],-1.0986430602195334,-0.1898439595326076,0.7365214266720024,15138.487746507439,0.9997776880159867
ze[15],-1.0720404310679987,-0.13869447300112164,0.7839066565342209,15888.136510791324,0.9998397320418293
ze[16],-1.0879026322838197,-0.13270136932534776,0.7958730388018109,16524.179824402294,0.9998639097039558
ze[17],-0.7638972685345342,0.1968513669163358,1.1090561315066454,14952.523755157355,0.9999668266864746
ze[18],-1.2230075486788403,-0.25961489874833915,0.711140799716351,13289.386476084248,1.000086287858913
ze[19],-0.6477626049603188,0.2607283300217085,1.1837374051916614,13660.31095415164,0.9998995477806861
ze[20],-1.3163619526248014,-0.3790396091956876,0.5652200513669117,13667.881523225831,1.0003448516728102
ze[21],-1.4192941939421853,-0.4846597536457825,0.4575031008124539,14711.855810863866,0.9999363793143817
ze[22],-1.1997382809926873,-0.2779875718464433,0.6573910200498223,15669.329176523595,0.9996649654973124
ze[23],-1.1267422809786045,-0.23232677974231897,0.697771630286156,17969.83259911048,0.9996642618206663
ze[24],-0.9953443277658559,-0.06157066626535379,0.8713189663290186,16903.774295191306,0.9997885276047448
