trans,distance,year,taxon,count,midges,y,midges_z,time,time_z,dist,dist_z,distf,plot,taxon_plot,taxon_trans
btl,5,2014,opil,35,13339,0.8346991820897229,0.722146890475014,6,2.087843602641469,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,opilbtl1.6094379124341,opilbtl
btl,5,2015,opil,57,17832,1.1886274155310859,0.9096832339637888,7,2.435817536415047,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,opilbtl1.6094379124341,opilbtl
btl,5,2016,opil,40,11196,0.9312123937895755,0.6090107112904329,8,2.7837914701886257,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,opilbtl1.6094379124341,opilbtl
btl,5,2017,opil,13,7334,0.13380851975608993,0.3357410443881231,9,3.131765403962204,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,opilbtl1.6094379124341,opilbtl
btl,5,2008,sheet,27,24004.585913000003,0.6481972274914984,1.101711040692176,0,0,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,sheetbtl1.6094379124341,sheetbtl
btl,5,2009,sheet,106,13713.815358266333,1.6430826328846364,0.740048557745477,1,0.3479739337735782,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,sheetbtl1.6094379124341,sheetbtl
btl,5,2010,sheet,81,14192.239725229945,1.4456011015249841,0.76220087476892,2,0.6959478675471564,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,sheetbtl1.6094379124341,sheetbtl
btl,5,2011,sheet,49,301,1.078484033611539,-1.7251338412764248,3,1.0439218013207345,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,sheetbtl1.6094379124341,sheetbtl
btl,5,2012,sheet,64,3776,1.2731861383598566,-0.09305682603846711,4,1.3918957350943129,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,sheetbtl1.6094379124341,sheetbtl
btl,5,2013,sheet,189,9117,2.0691963856218227,0.47631599976466443,5,1.739869668867891,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,sheetbtl1.6094379124341,sheetbtl
btl,5,2014,sheet,95,13339,1.5625784927409114,0.722146890475014,6,2.087843602641469,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,sheetbtl1.6094379124341,sheetbtl
btl,5,2015,sheet,101,17832,1.6075683906265403,0.9096832339637888,7,2.435817536415047,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,sheetbtl1.6094379124341,sheetbtl
btl,5,2016,sheet,57,11196,1.1886274155310859,0.6090107112904329,8,2.7837914701886257,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,sheetbtl1.6094379124341,sheetbtl
btl,5,2017,sheet,2,7334,-1.0093650459361307,0.3357410443881231,9,3.131765403962204,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,sheetbtl1.6094379124341,sheetbtl
btl,5,2008,stap,62,24004.585913000003,1.2499934371307553,1.101711040692176,0,0,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,stapbtl1.6094379124341,stapbtl
btl,5,2009,stap,5,13713.815358266333,-0.4949763382007223,0.740048557745477,1,0.3479739337735782,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,stapbtl1.6094379124341,stapbtl
btl,5,2010,stap,30,14192.239725229945,0.7237307794762655,0.76220087476892,2,0.6959478675471564,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,stapbtl1.6094379124341,stapbtl
btl,5,2011,stap,6,301,-0.3805801879793184,-1.7251338412764248,3,1.0439218013207345,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,stapbtl1.6094379124341,stapbtl
btl,5,2012,stap,6,3776,-0.3805801879793184,-0.09305682603846711,4,1.3918957350943129,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,stapbtl1.6094379124341,stapbtl
btl,5,2013,stap,23,9117,0.5338010772700946,0.47631599976466443,5,1.739869668867891,1.6094379124341003,-1.3610040926424996,1.6094379124341,btl1.6094379124341,stapbtl1.6094379124341,stapbtl
